Table V2023R1,V9.0 (P12),V11 (P22),Abbreviation,Description,Module,Activity code
CAISSE,New table,Modification,PCA,Contribution funds,Human Resources administration,
CALCDBG,,,CDG,Calculation,Fixed Assets,
CALENDAFF,New table,New table,CLF,Project to sold products,Common Data,PRH
CALENDAR,New table,New table,CLD,Calendars,Common Data,PRH
CALIBRAT,,,CBT,Calibration,Manufacturing,MWM
CALIGUIDES,,,CGD,Calibration guides,Manufacturing,MWM
CALLATTEMP,,,CTT,Call attempt,CRM activities,
CALRUB,New table,,CRB,Headings to be calculated,Human Resources administration,
CALRUBHIS,New table,,CRH,Headings to be calculated,Human Resources administration,MAS
CALVAR,New table,Modification,CVR,Variables to calculate,Human Resources administration,
CAPFLOTMP,,,CWT,Capital flow,Financials,KPO
CAPVAR,,,CPV,Capacity variation,Manufacturing,
CARAREA,,,CAA,Carrier regions,Common Data,
CARPRICE,,,CAP,Carrier price lists,Common Data,
CASHING,,,CAS,Collections,Fixed Assets,GRT
CASHPAYSPA,Modification,Modification,CPS,Cash payments,Financials,KSP
CBLOB,,,CBB,Special folders,Common Data,
CBNDET,Modification,Modification,CBD,MRP detail,Stock,
CBNHEA,,,CBH,MRP processing,Stock,
CBNWRK,,,CBW,MRP workfile,Stock,
CCMACTION,Modification,Modification,CCMACT,Actions,Common Data,CCM
CCMAPPROVER,Modification,Modification,CCMAPPR,Change request approvers,Common Data,CCM
CCMCHGREQ,Modification,Modification,CCMCR,Change request,Common Data,CCM
CCMCRDESC,,Modification,CCMCRD,Change request description,Common Data,CCM
CCMCRNOTES,Modification,Modification,CCMCRN,Change request attachments,Common Data,CCM
CCMCRORIGC,,Modification,CCMCROC,Customer originators,Common Data,CCM
CCMCRORIGE,,Modification,CCMCROE,External originators,Common Data,CCM
CCMCRORIGI,Modification,Modification,CCMCROI,Internal originators,Common Data,CCM
CCMCRORIGS,,Modification,CCMCROS,Supplier originators,Common Data,CCM
CCMIMPBOD,,Modification,CCMIBOD,Impact analysis-BOM lines,Common Data,CCM
CCMIMPBOH,,Modification,CCMIBOH,Impact analysis-BOMs,Common Data,CCM
CCMIMPFOD,Modification,Modification,CCMIFOD,Impact analysis-Forecasts,Common Data,CCM
CCMIMPFOH,Modification,Modification,CCMIFOH,Impact analysis-Forecasts,Common Data,CCM
CCMIMPITM,Modification,Modification,CCMIITM,Impact analysis-Stock,Common Data,CCM
CCMIMPITMDET,,Modification,CCMITMD,Impact analysis-Stock sites,Common Data,CCM
CCMIMPMFGD,,Modification,CCMMFGD,Impact analysis-Work orders,Common Data,CCM
CCMIMPMFGH,,Modification,CCMMFGH,Impact analysis-Work orders,Common Data,CCM
CCMIMPPOD,,Modification,CCMIPOD,Impact analysis-Purchases,Common Data,CCM
CCMIMPPOH,,Modification,CCMIPOH,Impact analysis-Purchases,Common Data,CCM
CCMIMPPRD,,Modification,CCMIPRD,Impact analysis-Purchase req,Common Data,CCM
CCMIMPPRH,,Modification,CCMIPRH,Impact analysis-Purchase req,Supervisor,CCM
CCMIMPROD,Modification,Modification,CCMROD,Impact analysis-Routing lines,Common Data,CCM
CCMIMPROH,Modification,Modification,CCMROH,Impact analysis-Routing,Common Data,CCM
CCMIMPSCD,,Modification,CCMSCD,Impact analysis-Subcontract,Common Data,CCM
CCMIMPSCH,,Modification,CCMSCH,Impact analysis-Subcontract,Common Data,CCM
CCMIMPSOD,,Modification,CCMSOD,Impact analysis-Sales orders,Common Data,CCM
CCMIMPSOH,,Modification,CCMSOH,Impact analysis-Sales orders,Common Data,CCM
CCMIMPSQD,,Modification,CCMISQD,Impact analysis-Sales quotes,Common Data,CCM
CCMIMPSQH,,Modification,CCMISQH,Impact analysis-Sales quotes,Common Data,CCM
CCMPLAND,,Modification,CCMPD,Change request plan detail,Common Data,CCM
CCMPLANH,,Modification,CCMPH,Change request plan header,Common Data,CCM
CCMREJDSC,,Modification,CCMREJ,Rejection description,Common Data,CCM
CCMVCREXC,Deleted table,,CVE,CCM documents exceptions,Common Data,CCM
CCNCOE,,,COE,Update coefficients,Fixed Assets,CCN
CCNRPR,,,RPR,Provisions for renewal,Fixed Assets,CCN
CDFCOD,,,CDC,Recoding : codes,Fixed Assets,
CDFCPY,,,CDS,Recoding : select company,Fixed Assets,
CDFFCY,,,CDY,Recoding : select site,Fixed Assets,
CDFPAR,,,CDP,Recoding : parameter,Fixed Assets,
CDIADSP,Modification,Modification,DAD,Dimension allocations,Financials,
CERTIFCCS,New table,,CCS,Entertainment fund certificate,Common Data,FINTM
CFGABQ,,,CAB,Simple calculation tables,Stock,CFG
CFGDEF,,,CDF,Config. default values,Common Data,CFG
CFGHIS,,,CFH,Configuration history,Stock,CFG
CFGHISHEA,,,CHH,Configuration history header,Stock,CFG
CFGLNK,,,CLN,Configurator symbol links,Stock,CFG
CFGMAC,,,CFM,Standard processes,Stock,CFG
CFGMEMO,,,CME,Configurator memo,Stock,CFG
CFGMENLOC,,,CML,Local menus,Stock,CFG
CFGOPTVAR,,,COV,Options / variants,Stock,CFG
CFGQST,,,CQU,Configurator symbols,Stock,CFG
CFGSCE,,,CSC,Configurator scenarios,Stock,CFG
CFGSCELIN,,,CSL,Configurator scenario lines,Stock,CFG
CFGSEL,,,CSE,Configurator selections,Stock,CFG
CFGSHA,,,CSH,Shapes and patterns,Stock,CFG
CFGTEX,,,CFT,Configurator work file,Stock,CFG
CFODUDDATE,,,CFODD,Cash forecast management,A/P-A/R accounting,CFOM
CFOMANMVT,,,CFOMM,Cash forecast movements,A/P-A/R accounting,CFOM
CFOTYP,,,CFOT,Cash forecast types,A/P-A/R accounting,CFOM
CGVDET,New table,New table,CGVD,Value change detail,Stock,
CHEFWRK,New table,,CEW,Signature management,Common Data,FHRPA
CHGVAL,New table,New table,CGV,Value change,Stock,
CHQBOK,,,CHB,Checks table,A/P-A/R accounting,CHQ
CHQDEJHEA,New table,,CQH,Chèques déjeuner,Human Resources administration,FCQH
CHQDEJLIG,New table,,HRCQL,Chèques déjeuner,Human Resources administration,FCQH
CHQNUM,,,CHN,Table of checks,A/P-A/R accounting,CHQ
CIGDEF,,,CIG,IGS definition,Fixed Assets,CIG
CIGFXDSOR,,,CIB,IGS adjustment : issued assets,Fixed Assets,CIG
CIGREX,,,CIR,IGS parametern,Fixed Assets,CIG
CIGREXSEL,,,CIS,IGS asset selection,Fixed Assets,CIG
CLACTR,New table,Modification,HRCLC,Document clause,Common Data,FHRPA
CLASSCONV,New table,Modification,HRCCV,Collective agreement classification,Common Data,FHRPA
CMARKETING,,,CMG,Marketing campaign,CRM activities,
CNGCPY,New table,New table,CNG,Annual leave periods,Human Resources administration,
CNGEMP,New table,New table,CNE,Annual leave by employee,Human Resources administration,
CNSSII,New table,New table,CSII,SII inquiry,Common Data,KSP
COFAWRK,,,CAW,Certificate of analysis,Sales,
COMPANY,Modification,Modification,CPY,Company,Supervisor,
COMPETENCE,New table,Modification,CPC,Skills,Common Data,FHRPA
COMPETENCED,New table,,CPD,Skills,Common Data,FHRPA
COMPEVAL,New table,Modification,CEV,Interview campaign,Human Capital management,CAR
COMREP,,,COM,Sales rep commissions,Common Data,KIT
CONCESSION,,,CCN,Concession,Fixed Assets,CCN
CONTACT,,,CNT,Contacts,Supervisor,
CONTACTCRM,,,AIN,Contact relationships,Supervisor,
CONTACTSA,New table,,CNTSA,Additional RSA fields,Common Data,FZAPH
CONTACTXT,New table,New table,CNTXT,Contacts,Common Data,
CONTAINER,Modification,,CTRH,Freight container,Purchasing,
CONTAINERD,,,CTRD,Freight container detail,Purchasing,
CONTAINERS,Modification,Modification,CTN,Containers,Manufacturing,MWM
CONTAMT,,,CAM,Annual databases,Common Data,
CONTAMTX,,,CAX,Annual databases,Common Data,
CONTCARE,,,CCA,Maintenance plan,Common Data,
CONTCOV,,,CCV,Service contracts coverage,Common Data,
CONTEXT,Modification,Modification,CNX,Contexts,Fixed Assets,
CONTIDX,,,CIX,Index values,Common Data,
CONTITM,,,CIT,Covered product,Common Data,
CONTPBL,,,CPL,Skills covered,Common Data,
CONTQUAL,,,CQL,Quality constraints,Common Data,
CONTREW,,,CRE,Contract renewals,Common Data,
CONTREWX,,,CRX,Contract renewals,Common Data,
CONTSERV,Modification,,CON,Service contract,Common Data,
